N°;CONTRATO;CONTRATO_ORIGINAL;N° DO FLUXO ACC;ABERTO/FECHADO;TIPO;FRENTE;TRECHO;ENDEREÇO;DATA PROTOCOLO;AGENTE DA SUPERVISÃO;ETAPA ATUAL DO PROCESSO;SITUACAO_GERAL;COMUNICAÇÃO;COMUNICAÇÃO_STATUS;QUALIDADE;QUALIDADE_STATUS;SST;SST_STATUS;SUPERVISÃO;SUPERVISÃO_STATUS;PARTICIPANTES PENDENTES DE ANÁLISE;ARREDONDADO ATUAL;DATA_VENCIMENTO_ANALISE;CHECKLIST_DOCUMENTAL;PENDÊNCIAS;PENDENCIA_DOCUMENTAL;FLUXO_CORRELACIONADO;LIBERACAO_PREVISTA_SEMANA;FRENTE_CHAVE;ENDERECO_CHAVE
40;00797/24;797/24;#180;ABERTO;Mapeamento de Interferências;CT Dutra;PV 09 AO PV 02;Rua João Ranieri;13/07/2026;Gian;Iniciador, aguardando arquivos revisados.;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;-;Não informado;SUPERVISÃO;2;-;Relatório de Mapeamento ( APR (x) PAE específico (ok) Plano de Contingência (ok) Projeto de Escoramento (ok) Carta (ok) Projeto Executivo (ok);SST: APR Supervisão: Aguardando revisão de arquivos.;Sim;;-;CT DUTRA;RUA JOAO RANIERI
41;00900/24;900/24;#176;ABERTO;Planos Gerais;Planos de Contingência e PAE GERAL;-;-;13/07/2026;Outros;-;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;2;-;;-;Não;;-;PLANOS DE CONTINGENCIA E PAE GERAL;-
42;00268/24;268/24;#421;FECHADO;Mapeamento de Interferências;CT Centenário;PV 7 ao PV 11;Rua Cocho Velho / Rua Nova Timboteva;14/07/2026;Gian;Consta em Protocolo;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;-;1;23/07/2026;;Falta o Projeto Aprovado, demais arquivos estão ok. Aprovado no #456.;Sim;456;-;CT CENTENARIO;RUA COCHO VELHO / RUA NOVA TIMBOTEVA
43;00268/24;268/24;#423;FECHADO;Planos Gerais;Planos de Comunicação e PAE GERAL;-;-;14/07/2026;Outros;-;Sem objeção;;Não informado;NÃO OBJETADO;Sem objeção;-;Não informado;-;Não informado;-;1;23/07/2026;;-;Não;;-;PLANOS DE COMUNICACAO E PAE GERAL;-
44;00268/24;268/24;#431;-;Planos Gerais;Planos de Contigência e PAE GERAL;-;-;16/07/2026;Outros;-;Não informado;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;28/07/2026;;-;Não;;-;PLANOS DE CONTIGENCIA E PAE GERAL;-
45;00797/24;797/24;#188;ABERTO;Mapeamento de Interferências;CT Aracília;PV-13.7 ao PV-14;Rua Urucuí;16/07/2026;Gian;Respondido;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;OBJETADO;Com objeção;-;1;28/07/2026;;Ajustar APR, Cadastro Comgás incompleto, Projeto de cavas-testemunho (Plano de Furo), Mapeamento, Projeto Executivo ou nome do trecho incorreto e Autorização próxima ao vencimento.;Sim;;-;CT ARACILIA;RUA URUCUI
46;00797/24;797/24;#191;ABERTO;Mapeamento de Interferências;CT Aracília;PV-10.3 ao PV-10;Rua Picos / Av Ladslau Kardos;16/07/2026;Gian;Protocolo de saída, acionar a qualidade;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;OBJETADO;Com objeção;OBJETADO;Com objeção;-;1;28/07/2026;;SST: Ajustar APR Supervisão: Cadastro Comgás incompleto, Projeto de cavas-testemunho (Plano de Furo), Mapeamento, Projeto de Cavas, de Escoramento e Autorização próxima ao vencimento.;Sim;;-;CT ARACILIA;RUA PICOS / AV LADSLAU KARDOS
47;03179/23;3179/23;Não inserido no ACC;FECHADO;Mapeamento de Interferências;CT Cristais 1;Ñ informado;;;Rodrigo;Respondido;Com objeção;;Não informado;NÃO OBJETADO;Sem objeção;-;Não informado;OBJETADO;Com objeção;;;-;;-;Não;;-;CT CRISTAIS 1;
48;00797/24;797/24;#193;ABERTO;Mapeamento de Interferências;Revisão - IN Estrada dos Vados 02;PV 04 AO PV 04.2;Estrada Velha Guarulhos Arujá 71 ~ 327;17/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;NÃO OBJETADO;Sem objeção;-;Não informado;-;Não informado;-;1;28/07/2026;;-;Não;;-;REVISAO - IN ESTRADA DOS VADOS 02;ESTRADA VELHA GUARULHOS ARUJA 71 ~ 327
49;01151/21;1151/21;Não inserido no ACC;FECHADO;Liberação de Frente;CTS 2;PV-02 AO PV-07;Alameda Josefina Leme Zamataro;-;Gian;Aprovado;Sem objeção;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;NÃO OBJETADO, COM RESSALVAS;Sem objeção;-;;-;;Liberação de frente aprovada pela supervisão, aguardando próximos passos junto à equipe do Graco.;Sim;;-;CTS 2;ALAMEDA JOSEFINA LEME ZAMATARO
50;01151/21;1151/21;Não inserido no ACC;FECHADO;Mapeamento de Interferências;CTS 2;PV-09 AO PV-13;Avenida Caetano Zamataro;-;Gian;Aprovado;Sem objeção;;Não informado;;Não informado;NÃO OBJETADO;Sem objeção;NÃO OBJETADO;Sem objeção;-;1;-;;Mapeamento e abertura de cavas-testemunho aprovada pela supervisão.;Sim;;-;CTS 2;AVENIDA CAETANO ZAMATARO
51;00268/24;268/24;#456;ABERTO;Mapeamento de Interferências;CT Centenário;PV-7 ao PV-11;Rua Cocho Velho até a esquina com a Rua Nova Timboteva;27/07/2026;Gian;Aprovado;Em análise;;Não informado;NÃO OBJETADO;Sem objeção;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;NÃO OBJETADO;Sem objeção;-;1;07/08/2026;Calibração de gás (ok) Projeto Aprovado (ok) Carta (ok);Arquivos objetados no fluxo #421 estão ok.;Sim;421;-;CT CENTENARIO;RUA COCHO VELHO ATE A ESQUINA COM A RUA NOVA TIMBOTEVA
52;00268/24;268/24;#458;ABERTO;Mapeamento de Interferências;CT Centenário;PV-03 ao PV-03.1;Av Venturosa x Rua Silvio Manfredi;29/07/2026;Gian;Aprovado;Em análise;;Não informado;NÃO OBJETADO;Sem objeção;JÁ APROVADO ANTERIORMENTE;Sem objeção;NÃO OBJETADO;Sem objeção;-;1;-;;Arquivos objetados no fluxo #365 foram revisados e aprovados pela Supervisão.;Sim;365;-;CT CENTENARIO;AV VENTUROSA X RUA SILVIO MANFREDI
53;00272/24;272/24;#255;ABERTO;Mapeamento de Interferências;EEE Carlópolis;-;Viela Marabá;27/07/2026;Norte 2;Iniciador para a inclusão de arquivos;Com objeção;OBJETADO;Com objeção;NÃO OBJETADO;Sem objeção;-;Não informado;-;Não informado;-;2;-;;-;Não;;-;EEE CARLOPOLIS;VIELA MARABA
54;00274/24;274/24;#369;ABERTO;Planos Gerais;Plano de Comunicação e PAE GERAL;-;-;17/07/2026;Outros;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;PLANO DE COMUNICACAO E PAE GERAL;-
55;00274/24;274/24;#371;ABERTO;Mapeamento de Interferências;Documentos revisados INT Complementar 220;PV-01 ao PV-05;Av Sargento da Aeronáutica Plínio F. Gonçalves;17/07/2026;Gian;Em análise;Em análise;;Não informado;;Não informado;EM ANÁLISE;Em análise;EM ANÁLISE;Em análise;-;3;10/08/2026;;-;Não;346;-;DOCUMENTOS REVISADOS INT COMPLEMENTAR 220;AV SARGENTO DA AERONAUTICA PLINIO F. GONCALVES
56;00274/24;274/24;#373;ABERTO;Mapeamento de Interferências;Documentos revisados Arsesp CT S João;PV-06A;Av Brasil 382 (Praça);22/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;DOCUMENTOS REVISADOS ARSESP CT S JOAO;AV BRASIL 382 (PRACA)
57;00274/24;274/24;#375;ABERTO;Mapeamento de Interferências;Documentos revisados Arsesp CT S João;PV-21 ao PV-44;Estrada Guarulhos Nazaré;22/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;DOCUMENTOS REVISADOS ARSESP CT S JOAO;ESTRADA GUARULHOS NAZARE
58;00274/24;274/24;#377;ABERTO;Mapeamento de Interferências;Documentos revisados Arsesp CT S João;PV-08 ao PV-09;Av Papa João Paulo I 928;22/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;DOCUMENTOS REVISADOS ARSESP CT S JOAO;AV PAPA JOAO PAULO I 928
59;00274/24;274/24;#379;ABERTO;Mapeamento de Interferências;Documentos revisados Arsesp IN Estados Unidos;PV-E ao PV-05 CT SJ;Av Estados Unidos 38;23/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;DOCUMENTOS REVISADOS ARSESP IN ESTADOS UNIDOS;AV ESTADOS UNIDOS 38
60;00797/24;797/24;#198;ABERTO;Mapeamento de Interferências;CT Aracília;PV-10 ao PV-11;Av Nossa Senhora de Fátima 180 ~ 332;21/07/2026;Gian;Aprovado, mas depende de outros fluxos;Em análise;;Não informado;;Não informado;NÃO HÁ ARQUIVOS PARA SST AVALIAR NESTA ETAPA;Não se aplica;NÃO OBJETADO;Sem objeção;-;1;30/07/2026;Plano de Furo (ok) Carta;Plano de Furo (ok);Sim;161 e 206;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA 180 ~ 332
61;00797/24;797/24;#199;ABERTO;Mapeamento de Interferências;CT Aracília;PV-11 ao PV-12;Av Nossa Senhora de Fátima;21/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA
62;00797/24;797/24;#203;ABERTO;Mapeamento de Interferências;CT Dutra;PV-13.7 ao PV-13.22;Av Amâncio Gaioli;22/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;CT DUTRA;AV AMANCIO GAIOLI
63;00797/24;797/24;#206;ABERTO;Mapeamento de Interferências;CT Aracília;PV-10 ao PV-11;Av Nossa Senhora de Fátima 180 ~ 332;23/07/2026;Gian;Análise pela SST;Em análise;;Não informado;;Não informado;EM ANÁLISE;Em análise;NÃO OBJETADO;Sem objeção;-;3;-;Relatório de Mapeamento (N/A) APR (x) PAE específico (ok) Plano de Contingência (ok) Projeto de Escoramento (ok) Carta (ok) Projeto Executivo (ok);SST: APR Supervisão - ok;Sim;161 e 198;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA 180 ~ 332
64;00797/24;797/24;#208;ABERTO;Mapeamento de Interferências;CT Aracília;PV-11 ao PV-12;Av Nossa Senhora de Fátima 180 ~ 276;23/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;199;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA 180 ~ 276
65;00797/24;797/24;#210;ABERTO;Mapeamento de Interferências;CT Aracília;PV-12 ao PV-13;Av Nossa Senhora de Fátima 93 ~ 180;23/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA 93 ~ 180
66;00797/24;797/24;#211;ABERTO;Mapeamento de Interferências;CT Aracília;PV-13 ao PV-14;Av Nossa Senhora de Fátima, do nº 208 até a Rua Padre Agostinho;24/07/2026;Gian;Em Protocolo;Em análise;;Não informado;;Não informado;EM ANÁLISE;Em análise;NÃO OBJETADO;Sem objeção;-;1;-;APR (x) Protocolo/Solicitação Comgás (ok) Cadastro Comgás (ok) Projeto Aprovado (ok) Projeto de Cavas - Locação e Sinalização (ok) Mapeamento de Interferências (ok) Autorização PMG (vencerá em 31/07, prorrogação efetuada pela contratada);-;Não;;-;CT ARACILIA;AV NOSSA SENHORA DE FATIMA, DO Nº 208 ATE A RUA PADRE AGOSTINHO
67;00797/24;797/24;#214;ABERTO;Mapeamento de Interferências;CT Bonsucesso;PV-02 ao PV-03;Rua Felício Antônio Alves (travessia pelo Rio Baquirivu);24/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;CT BONSUCESSO;RUA FELICIO ANTONIO ALVES (TRAVESSIA PELO RIO BAQUIRIVU)
68;00797/24;797/24;#216;ABERTO;Mapeamento de Interferências;PAE GERAL;-;-;24/07/2026;Outros;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;PAE GERAL;-
69;00797/24;797/24;#217;ABERTO;Mapeamento de Interferências;CT Dutra;PV-09 ao PV-02;Rua João Ranieri;29/07/2026;Norte 2;Gestão Documental;Em análise;;Não informado;;Não informado;-;Não informado;-;Não informado;-;1;-;;-;Não;;-;CT DUTRA;RUA JOAO RANIERI
